"game_id","quarter","time","minute","second","play","pos_team","away_score","home_score","season"
"225g2kfh1838",2,"3:45",3,45,"Angel Reese misses two point shot","Rose",16,31,2025
"225g2kfh1838",2,"3:45",3,45,"Angel Reese offensive rebound","Rose",16,31,2025
"225g2kfh1838",2,"3:43",3,43,"Angel Reese misses two point shot","Rose",16,31,2025
"225g2kfh1838",2,"3:43",3,43,"Dearica Hamby defensive rebound","Vinyl",16,31,2025
"225g2kfh1838",2,"3:38",3,38,"Rae Burrell lost ball turnover","Vinyl",16,31,2025
"225g2kfh1838",2,"3:33",3,33,"Brittney Sykes assist","Rose",16,31,2025
"225g2kfh1838",2,"3:33",3,33,"Angel Reese makes two point shot","Rose",16,33,2025
"225g2kfh1838",2,"3:33",3,33,"Timeout",NA,16,33,2025
"225g2kfh1838",2,"3:21",3,21,"Jordin Canada misses two point shot","Vinyl",16,33,2025
"225g2kfh1838",2,"3:21",3,21,"Chelsea Gray defensive rebound","Rose",16,33,2025
"225g2kfh1838",2,"3:15",3,15,"Chelsea Gray misses two point shot","Rose",16,33,2025
"225g2kfh1838",2,"3:14",3,14,"Dearica Hamby defensive rebound","Vinyl",16,33,2025
"225g2kfh1838",2,"3:03",3,3,"Jordin Canada makes two point shot","Vinyl",18,33,2025
"225g2kfh1838",2,"3:03",3,3,"Timeout",NA,18,33,2025
"225g2kfh1838",2,"2:48",2,48,"Brittney Sykes misses two point shot","Rose",18,33,2025
"225g2kfh1838",2,"2:48",2,48,"Dearica Hamby defensive rebound","Vinyl",18,33,2025
"225g2kfh1838",2,"2:29",2,29,"Rhyne Howard misses two point shot","Vinyl",18,33,2025
"225g2kfh1838",2,"2:29",2,29,"Angel Reese defensive rebound","Rose",18,33,2025
"225g2kfh1838",2,"2:22",2,22,"Angel Reese misses two point shot","Rose",18,33,2025
"225g2kfh1838",2,"2:21",2,21,"Jordin Canada defensive rebound","Vinyl",18,33,2025
"225g2kfh1838",2,"2:18",2,18,"Brittney Sykes personal foul","Rose",18,33,2025
"225g2kfh1838",2,"2:18",2,18,"Jordin Canada makes two point shot","Vinyl",20,33,2025
"225g2kfh1838",2,"2:16",2,16,"Jordin Canada misses free throw (1pt.)","Vinyl",20,33,2025
"225g2kfh1838",2,"2:15",2,15,"Azurá Stevens defensive rebound","Rose",20,33,2025
"225g2kfh1838",2,"2:10",2,10,"Chelsea Gray misses three point shot","Rose",20,33,2025
"225g2kfh1838",2,"2:09",2,9,"Rhyne Howard defensive rebound","Vinyl",20,33,2025
"225g2kfh1838",2,"1:58",1,58,"Rhyne Howard misses three point shot","Vinyl",20,33,2025
"225g2kfh1838",2,"1:58",1,58,"Chelsea Gray defensive rebound","Rose",20,33,2025
"225g2kfh1838",2,"1:50",1,50,"Azurá Stevens misses two point shot","Rose",20,33,2025
"225g2kfh1838",2,"1:50",1,50,"Dearica Hamby defensive rebound","Vinyl",20,33,2025
"225g2kfh1838",2,"1:41",1,41,"Jordin Canada assist","Vinyl",20,33,2025
"225g2kfh1838",2,"1:41",1,41,"Rhyne Howard makes two point shot","Vinyl",22,33,2025
"225g2kfh1838",2,"1:30",1,30,"Azurá Stevens makes two point shot","Rose",22,35,2025
"225g2kfh1838",2,"1:23",1,23,"Jordin Canada bad pass turnover","Vinyl",22,35,2025
"225g2kfh1838",2,"1:19",1,19,"Azurá Stevens makes two point shot","Rose",22,37,2025
"225g2kfh1838",2,"1:02",1,2,"Rhyne Howard misses three point shot","Vinyl",22,37,2025
"225g2kfh1838",2,"1:01",1,1,"Chelsea Gray defensive rebound","Rose",22,37,2025
"225g2kfh1838",2,"0:43.5",0,44,"Brittney Sykes misses two point shot","Rose",22,37,2025
"225g2kfh1838",2,"0:43.1",0,43,"Dearica Hamby defensive rebound","Vinyl",22,37,2025
"225g2kfh1838",2,"0:38.2",0,38,"Dearica Hamby misses two point shot","Vinyl",22,37,2025
"225g2kfh1838",2,"0:37.8",0,38,"Rose defensive team rebound","Rose",22,37,2025
"225g2kfh1838",2,"0:26.9",0,27,"Azurá Stevens misses three point shot","Rose",22,37,2025
"225g2kfh1838",2,"0:26.6",0,27,"Vinyl defensive team rebound","Vinyl",22,37,2025
"225g2kfh1838",2,"0:10.5",0,10,"Dearica Hamby misses two point shot","Vinyl",22,37,2025
"225g2kfh1838",2,"0:10.1",0,10,"Dearica Hamby offensive rebound","Vinyl",22,37,2025
"225g2kfh1838",2,"9.4",0,9,"Dearica Hamby makes two point shot","Vinyl",24,37,2025
"225g2kfh1838",2,"0.1",0,0,"Chelsea Gray makes two point shot","Rose",24,39,2025
"225g2kfh1838",2,"0.0",0,0,"End of the 2nd Quarter",NA,24,39,2025
"225g2kfh1838",3,"6:48",6,48,"Chelsea Gray misses two point shot","Rose",24,39,2025
"225g2kfh1838",3,"6:47",6,47,"Angel Reese offensive rebound","Rose",24,39,2025
"225g2kfh1838",3,"6:43",6,43,"Angel Reese misses two point shot","Rose",24,39,2025
"225g2kfh1838",3,"6:43",6,43,"Angel Reese offensive rebound","Rose",24,39,2025
"225g2kfh1838",3,"6:39",6,39,"Angel Reese misses two point shot","Rose",24,39,2025
"225g2kfh1838",3,"6:38",6,38,"Dearica Hamby defensive rebound","Vinyl",24,39,2025
"225g2kfh1838",3,"6:31",6,31,"Rhyne Howard misses three point shot","Vinyl",24,39,2025
"225g2kfh1838",3,"6:31",6,31,"Dearica Hamby offensive rebound","Vinyl",24,39,2025
"225g2kfh1838",3,"6:28",6,28,"Dearica Hamby assist","Vinyl",24,39,2025
"225g2kfh1838",3,"6:28",6,28,"Rhyne Howard makes two point shot","Vinyl",26,39,2025
"225g2kfh1838",3,"6:10",6,10,"Angel Reese misses two point shot","Rose",26,39,2025
"225g2kfh1838",3,"6:09",6,9,"Vinyl defensive team rebound","Vinyl",26,39,2025
"225g2kfh1838",3,"6:01",6,1,"Jordin Canada offensive foul turnover","Vinyl",26,39,2025
"225g2kfh1838",3,"6:01",6,1,"Jordin Canada personal foul","Vinyl",26,39,2025
"225g2kfh1838",3,"5:51",5,51,"Brittney Sykes assist","Rose",26,39,2025
"225g2kfh1838",3,"5:51",5,51,"Angel Reese makes two point shot","Rose",26,41,2025
"225g2kfh1838",3,"5:37",5,37,"Rhyne Howard lost ball turnover","Vinyl",26,41,2025
"225g2kfh1838",3,"5:35",5,35,"Rhyne Howard personal foul","Vinyl",26,41,2025
"225g2kfh1838",3,"5:35",5,35,"Brittney Sykes makes free throw (2pt.)","Rose",26,43,2025
"225g2kfh1838",3,"5:20",5,20,"Jordin Canada misses three point shot","Vinyl",26,43,2025
"225g2kfh1838",3,"5:20",5,20,"Angel Reese defensive rebound","Rose",26,43,2025
"225g2kfh1838",3,"5:09",5,9,"Brittney Sykes makes two point shot","Rose",26,45,2025
"225g2kfh1838",3,"4:54",4,54,"Angel Reese personal foul","Rose",26,45,2025
"225g2kfh1838",3,"4:46",4,46,"Rhyne Howard misses two point shot","Vinyl",26,45,2025
"225g2kfh1838",3,"4:46",4,46,"Dearica Hamby offensive rebound","Vinyl",26,45,2025
"225g2kfh1838",3,"4:46",4,46,"Angel Reese personal foul","Rose",26,45,2025
"225g2kfh1838",3,"4:46",4,46,"Dearica Hamby makes free throw (2pt.)","Vinyl",28,45,2025
"225g2kfh1838",3,"4:30",4,30,"Brittney Sykes misses two point shot","Rose",28,45,2025
"225g2kfh1838",3,"4:30",4,30,"Dearica Hamby defensive rebound","Vinyl",28,45,2025
"225g2kfh1838",3,"4:22",4,22,"Jordin Canada makes two point shot","Vinyl",30,45,2025
"225g2kfh1838",3,"4:22",4,22,"Angel Reese personal foul","Rose",30,45,2025
"225g2kfh1838",3,"4:17",4,17,"Dearica Hamby misses two point shot","Vinyl",30,45,2025
